"id","trilha que pertence","nome do curso","horas de curso","linguagem","framework que aprende","descrição do curso","quais habilidades receberei ao final do curso","projetos a serem entregues","avaliação do curso interna","quais projetos são desenvolvidos","pre requisitos","comentario seu sobre o curso"
"1","Python Office: Python para empresas","Introdução a Python para Empresas","22min","Python","não encontrado","Conquiste seu espaço com Python! Curso introdutório da trilha Python para Empresas.","Identificar como Python pode transformar seu trabalho. | Automatizar tarefas para ganhar eficiência no dia a dia. | Criar integrações com dashboards e relatórios dinâmicos. | Trabalhar com dados de forma prática e estratégica. | Explorar possibilidades com IA e ciência de dados. | Entender como organizar e estruturar seus primeiros projetos. | Aplicar Python em soluções corporativas, mesmo sem experiência prévia. | Preparar-se para as demandas do mercado do futuro.","não encontrado","4.9","A trilha que mudará sua jornada de trabalho | Quem é você? Desenvolvedor ou solucionador de problemas? | A sua vaga no futuro | Porque Python para Empresas? | Como a trilha está organizada | Integração com automações | Integração com dashboards e análise de dados | Integração com IA, Data Science e visão computacional","Nenhum - curso introdutório / onboarding","Avaliação interna alta, conteúdo consolidado."
"2","Análise de Dados com IA","Como migrar de carreira para Análise de Dados","46min","Python / IA (Claude)","não encontrado","Um guia direto para quem quer migrar para Análise de Dados sem recomeçar do zero.","Se a Análise de Dados é o caminho mais inteligente para sua transição de carreira. | Quais os pilares essenciais da atuação de um analista de dados (além de ferramentas). | Como criar um mapa de estudos que te dá clareza sobre o que aprender. | Como transformar problemas do seu trabalho em perguntas analisáveis com dados. | Passo a passo prático para aplicar análise de dados no seu trabalho atual. | Como usar a sua bagagem profissional como vantagem na migração para dados.","não encontrado","4.9","Por que migrar para Análise de Dados? | A mentalidade de quem evolui rápido | Os 5 pilares para pensar como um analista de dados | O caminho ideal para iniciar | Como seu trabalho atual pode ser sua vantagem injusta","Recomendado concluir módulos anteriores da trilha 'Análise de Dados com IA' ou ter base em Python / IA (Claude)","Avaliação interna alta, conteúdo consolidado."
"3","Webdesign com IA","Modernizando Sites Antigos com Design Systems","30min","JavaScript/TypeScript + IA","Astro, GSAP, IA Generativa (Gemini/Seedream)","Transforme sites antigos em interfaces modernas e profissionais usando IA, Design Systems e técnicas de recombinação de código de forma rápida e eficiente.","Modernização de Páginas Estáticas: Como transformar um site simples em uma interface moderna utilizando Design Systems. | Extração Inteligente de Conteúdo: Técnicas para extrair textos e cópias de sites antigos sem que a IA ""alucine"" ou altere a mensagem original. | Recombinação de Design Systems: Como misturar referências visuais de diferentes fontes para criar uma identidade única e moderna. | Manipulação de Sites Complexos: Uso de ferramentas para baixar sites completos, seguindo links internos e trabalhando página por página | Organização Profissional de Código: Como estruturar arquivos (CSS, JS, Imagens) de forma limpa para publicação em plataformas como a Vercel. | Uso de IA no Fluxo de Design: Como utilizar o Gemini para criar novos sistemas de design e o Cursor (ou ferramentas similares) para organizar a arquitetura do projeto.","não encontrado","4.9","Apresentação do curso – Modernizando Sites Antigos com Design Systems | Os arquivos iniciais | Criando nosso design system | Criando nosso novo site | Dicas finais para produção","Recomendado concluir módulos anteriores da trilha 'Webdesign com IA' ou ter base em JavaScript/TypeScript + IA","Avaliação interna alta, conteúdo consolidado."
"4","não encontrado","Comece por Aqui","10min","Geral / Conceitual (IA)","não encontrado","Entenda o que são agentes de IA e conheça o caminho completo da formação, do nível básico ao avançado.","não encontrado","não encontrado","4.9","Apresentação – Engenheiro de Agentes de IA | O que é um Agente IA? | Como a formação está organizada? (e o que serei capaz de criar?)","Nenhum - curso introdutório / onboarding","Curso de onboarding, curta duração, ideal para entender a trilha antes de investir tempo nos módulos técnicos."
"5","Aplicações AI com Python","Por dentro das LLMs - como funcionam modelos como o ChatGPT?","1h 18min","Python","não encontrado","Entenda a fundo o funcionamento das LLMs - a tecnologia por trás das IAs modernas como o ChatGPT.","O que são Transformers e como funcionam | Como LLMs processam grandes volumes de texto | O conceito e processo de tokenização | Como ocorre o pretraining de um modelo de linguagem | Diferenças entre modelos BASE e ajustados | Como funciona o Supervised Fine-Tuning | O que é RLHF e como melhora modelos como o ChatGPT | Como lidar com alucinações em LLMs | O que são DeepSeek e AI Leaderboard","não encontrado","4.9","O que você vai aprender neste curso? | Transformers e LLMs | Primeira etapa – Processar toda a internet | Segunda etapa – Tokenização | Terceira etapa – Realizando o pretraining | As propriedades de um modelo BASE | Quarta etapa – O Supervised Fine-Tuning | Quiz 1 | Lidando com Alucinações e usando Ferramentas | Modelos precisam de tokens para pensar | Quiz 2 | Quinta etapa – Reinforcement Learning | DeepSeek, AI Leaderboard e fechamento | Teste final","Recomendado concluir módulos anteriores da trilha 'Aplicações AI com Python' ou ter base em Python","Curso muito popular e bem avaliado, aposta segura."
"6","Python para Web","Django: conceitos básicos","1h 43min","Python","Django","Descubra como o Django funciona na prática e crie aplicações web de forma simples e organizada.","O que é o Django e como ele funciona | O que é um framework | A estrutura MVT usada pelo Django | Como instalar e iniciar um projeto Django | A criar e organizar apps dentro do projeto | Como criar rotas e páginas com views e URLs | A usar templates HTML com reaproveitamento de código","Introdução do curso | O que é o Django | O que é um Framework | A arquitetura MVT | Quiz – Conceitos fundamentais | Instalação do Django | Explorando a estrutura do projeto | Projetos e Apps | Criando o primeiro App | Quiz – Projeto Django | O que são views | URLs e Rotas | Views e URLs dinâmicas | Quiz – Views, URLs e Rotas | Renderizando Templates | Tags Templates | Conhecendo o básico de HTML | Herança de Templates | Quiz – Templates | Teste Final – Django básico","4.6","Introdução do curso | O que é o Django | O que é um Framework | A arquitetura MVT | Quiz – Conceitos fundamentais | Instalação do Django | Explorando a estrutura do projeto | Projetos e Apps | Criando o primeiro App | Quiz – Projeto Django | O que são views | URLs e Rotas | Views e URLs dinâmicas | Quiz – Views, URLs e Rotas | Renderizando Templates | Tags Templates | Conhecendo o básico de HTML | Herança de Templates | Quiz – Templates | Teste Final – Django básico","Recomendado concluir módulos anteriores da trilha 'Python para Web' ou ter base em Python","Back-end Python sólido, essencial para quem quer virar dev web."
"7","Python Office: Automações com Python","Introdução a Automações com Python","18min","Python","não encontrado","Automatize todas as suas tarefas! Curso introdutório da trilha Automações com Python.","Entender o que são automações e como são criadas. | Identificar tarefas manuais que podem ser automatizadas. | Entender porque Python é a escolha ideal para suas automações. | Compreender como as automações podem transformar a sua realidade. | Entender como a trilha Automações com Python pode te ajudar. | Explorar como as automações se conectam a outras trilhas, como análise de dados e inteligência artificial.","não encontrado","4.9","A trilha que aumenta sua produtividade em 100x | Afinal, o que é uma automação? | Transformação pela automação | Sua nova rotina com Python | Como a trilha está estruturada? | Integrando o conhecimento com outras trilhas","Nenhum - curso introdutório / onboarding","Avaliação interna alta, conteúdo consolidado."
"8","Engenharia de Dados com Python","Airflow na prática: ETL profissional com containers no Docker Compose","3h 39min","Python","Airflow, Docker","Orquestre pipelines profissionais com Airflow usando Docker, DevContainer e DAGs reais conectadas à API do Aeroporto de Schiphol.","Configurar o Airflow com Docker Compose e DevContainer. | Criar e executar DAGs com BashOperator e PythonOperator. | Consumir dados reais usando o HttpOperator e a API do Aeroporto de Schiphol. | Criar e estruturar um banco de dados para armazenar dados da API. | Realizar ETL completo: extrair, transformar e carregar dados. | Ajustar schedules, retries e delays para pipelines robustos. | Aplicar boas práticas na organização e manutenção de DAGs.","não encontrado","4.9","Introdução | Airflow e Arquitetura | Máquina Virtual | Docker Desktop | Executando Airflow pela Primeira Vez | Primeira DAG com BashOperator | DAG com PythonOperator | BranchPythonOperator: fluxo com IF do Airflow | HttpOperator: Consumindo API | Aeroporto de Schiphol: Revendo Endpoints | AircraftTypes: Extract e Paginação | AircraftTypes: Transform | Instalação do DBeaver | Criando Banco de Dados: Schiphol_DB | AircraftTypes: Criando Tabela | AircraftTypes: Load | Airlines: Extract | Airlines: Transform e Load | Destinations: Extract | Destinations: Transform e Load | Detalhes do Setup com Docker Compose | Flights: ETL Completo | DAG Avançado: Ajustando Schedule | DAG Avançado: Retry e Delay","Recomendado concluir módulos anteriores da trilha 'Engenharia de Dados com Python' ou ter base em Python","Avaliação interna alta, conteúdo consolidado."
"9","Automatizando Tudo com n8n","N8N Open-Source: Use a ferramenta de forma gratuita","48min","n8n (No-Code/Low-Code)","n8n","Aprenda a rodar o n8n em servidor próprio na Hostinger, com domínio, SSL e controle total das suas automações.","A diferença entre n8n.cloud e n8n auto-hospedado e quando usar cada um; | A diferença entre n8n.cloud e n8n auto-hospedado e quando usar cada um; | Como configurar uma VPS da Hostinger e realizar o deploy completo; | Como conectar domínio próprio e SSL (HTTPS) para rodar com segurança; | Boas práticas de operação e manutenção do n8n em produção; | Os próximos passos para expandir e escalar automações com controle total.","não encontrado","4.9","Boas-vindas e visão geral | n8n.cloud vs Self-Hosting | Instalação rápida e seu primeiro fluxo | Hospedando o n8n na Hostinger VPS | Conclusão","Recomendado concluir módulos anteriores da trilha 'Automatizando Tudo com n8n' ou ter base em n8n (No-Code/Low-Code)","Automação No-Code com forte demanda em empresas, ROI rápido sem precisar programar."
"10","Automatizando Tudo com n8n","Banco de Integrações: conectando n8n com qualquer ferramenta","47min","n8n (No-Code/Low-Code)","n8n","Aprenda a integrar o n8n aos aplicativos mais importantes do mercado, como Gmail, Google, WhatsApp, Telegram e muito mais.","Encurtar o tempo de implantação de integrações (de dias para minutos) | Padronizar credenciais, segurança e boas práticas no time | Evitar retrabalho e erros com templates reutilizáveis e fluxos testados | Escalar automações combinando múltiplos serviços no n8n com consistência | Criar um repositório interno de integrações para seu uso contínuo","não encontrado","4.9","O que você vai ver neste curso | Gmail, Google Agenda, Drive, Google Sheets e Docs | Telegram | OpenAI | Z-API | Groq | ElevenLabs | Fal.ai | Quiz – Banco de Integrações","Recomendado concluir módulos anteriores da trilha 'Automatizando Tudo com n8n' ou ter base em n8n (No-Code/Low-Code)","Automação No-Code com forte demanda em empresas, ROI rápido sem precisar programar."
